Disease,Precaution1,Precaution2,Precaution3,Precaution4
Drug Reaction,stop irritation,consult nearest hospital,stop taking drug,follow up
Viral fever,take rest and steam inhalation,drink plenty of fluids,use cold compress on forehead,consult doctor
Malaria,keep yourself hydrated,consult nearest hospital,avoid oily or contaminated food,keep mosquitoes away
Allergy,apply calamine,identify trigger,use ice compress,consult doctor if blisters appear
Hypothyroidism,reduce stress,exercise regularly,eat healthy,get proper sleep
Psoriasis,wash with warm soapy water,control bleeding with pressure,consult doctor,take salt bath
GERD,avoid spicy/oily food,do not lie down after meals,maintain healthy weight,exercise
Chronic Cholestasis,take cold baths,use anti-itch medicine,consult doctor,eat healthy
Hepatitis A,consult nearest hospital,wash hands properly,avoid oily/spicy foods,take prescribed medication
Osteoarthritis,take acetaminophen,consult doctor,follow up,take salt baths
"(Vertigo) Positional Vertigo",lie down,avoid sudden movement,avoid abrupt head motion,relax
Hypoglycemia,lie sideways,check pulse,drink sugary liquids,consult doctor
Acne,wash face twice daily,avoid oily/spicy food,drink enough water,avoid excessive cosmetics
Diabetes,have balanced diet,exercise daily,avoid sugary/oily foods,consult doctor if glucose is very high
Impetigo,soak affected area in warm water,use antibiotics,remove scabs with wet compress,consult doctor
Hypertension,practice meditation,reduce salt intake,reduce stress,get proper sleep
Peptic Ulcer Disease,avoid spicy/fatty foods,eat probiotic rich foods,avoid milk,limit alcohol
Piles (Hemorrhoids),avoid spicy/oily foods,use witch hazel bath,take warm epsom bath,drink aloe vera juice
Common Cold,drink vitamin-C rich fluids,take steam inhalation,avoid cold food,monitor fever
Chickenpox,use neem in bath,consume neem leaves,follow vaccination,avoid public contact
Cervical Spondylosis,use hot/cold packs,exercise,take OTC pain relief,consult doctor
Hyperthyroidism,eat healthy,massage area,use lemon balm,follow prescribed treatment
UTI,drink plenty of water,increase vitamin-C,drink cranberry juice,take probiotics
Varicose Veins,lie down and raise legs,apply ointments,use compression support,avoid standing long
AIDS,avoid open wounds,wear protective gear,consult doctor,regular follow up
Paralysis (Brain Hemorrhage),massage,exercise,eat healthy,consult doctor
Typhoid,avoid oily/street food,take antibiotic therapy,consult doctor,take prescribed medicine
Hepatitis B,consult nearest hospital,follow vaccination,eat healthy,take medication
Fungal Infection,bath twice daily,use neem/dettol water,keep area dry,use clean clothing
Hepatitis C,consult nearest hospital,vaccination,eat healthy,take medication
Stress,practice relaxation,short breaks,sleep well,reduce caffeine
Migraine,practice meditation,reduce stress,use UV-protected glasses,consult doctor
Bronchial Asthma,wear loose clothes,practice deep breathing,avoid triggers,seek medical help
Alcoholic Hepatitis,stop alcohol consumption,consult doctor,take medication,follow up
Jaundice,drink enough water,consume milk thistle,eat fiber-rich foods,take medication
Hepatitis E,stop alcohol,rest,consult doctor,take medication
Dengue,drink papaya leaf extract,avoid oily food,avoid mosquitoes,stay hydrated
Hepatitis D,consult doctor,take medication,eat healthy,follow up
Heart Attack (Emergency),call ambulance immediately,lie calmly,do not panic,wait for medical help
Pneumonia,consult doctor,drink plenty of fluids,rest,avoid fast food
Arthritis,exercise,use hot/cold therapy,try acupuncture,get massage
Gastroenteritis,avoid solid food temporarily,drink water slowly,rest,gradually restart food
Tuberculosis,cover mouth,consult doctor,follow medication,rest
Appendicitis,seek immediate medical care,avoid solid food,do not apply heat,stay hydrated
Tonsillitis,drink warm fluids,avoid cold food,do salt-water gargles,use throat lozenges
